Category,Username,IP Address,Timestamp,Details
Failed Login Spike,root,192.168.1.15,N/A,6 failed login attempts
Failed Login Spike,admin,192.168.1.15,N/A,8 failed login attempts
Failed Login Spike,tbraxter,10.0.2.87,N/A,5 failed login attempts
Failed Login Spike,jtoll,192.168.1.15,N/A,6 failed login attempts
Failed Login Spike,root,192.168.1.17,N/A,10 failed login attempts
Failed Login Spike,tbraxter,192.168.1.15,N/A,6 failed login attempts
Failed Login Spike,jdoe,192.168.1.17,N/A,3 failed login attempts
Failed Login Spike,jdoe,192.168.1.15,N/A,6 failed login attempts
Failed Login Spike,jdoe,10.0.2.87,N/A,4 failed login attempts
Failed Login Spike,jtoll,10.0.2.87,N/A,8 failed login attempts
Failed Login Spike,admin,10.0.2.87,N/A,8 failed login attempts
Failed Login Spike,root,10.0.2.87,N/A,4 failed login attempts
Failed Login Spike,admin,192.168.1.17,N/A,7 failed login attempts
Failed Login Spike,tbraxter,192.168.1.17,N/A,3 failed login attempts
Failed Login Spike,jtoll,192.168.1.17,N/A,5 failed login attempts
Brute Force Pattern,jdoe,100.108.103.43,2026-03-14T13:12:22Z,"5 fails prior to success. Attacking IPs: 192.168.1.15, 192.168.1.17, 10.0.2.87"
External IP Activity,root,53.248.13.123,2026-03-17T12:52:15Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,hmulrooney1,194.77.213.18,2026-03-12T02:43:11Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,root,51.91.61.140,2026-03-16T01:27:30Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,hgaineofengland3,84.201.139.199,2026-03-10T20:03:39Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,root,98.241.7.192,2026-03-17T14:14:39Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,cpittam5,79.68.37.38,2026-03-10T16:28:52Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,bphayre6,195.195.1.138,2026-03-10T19:12:34Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,root,215.111.196.43,2026-03-15T19:24:15Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,mabell8,187.189.169.208,2026-03-10T07:20:10Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,27.214.198.117,2026-03-11T15:40:46Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,nphilippea,71.121.191.107,2026-03-14T20:40:29Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,jwadlowb,195.164.21.242,2026-03-12T11:46:54Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,rklaaasenc,238.213.65.94,2026-03-17T18:43:22Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,govelld,17.208.115.147,2026-03-14T18:21:53Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,ealdritte,214.103.94.217,2026-03-14T17:58:23Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,lstainesf,206.28.51.8,2026-03-13T07:35:26Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,51.167.98.192,2026-03-10T14:03:51Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,radaminii,39.153.38.122,2026-03-13T12:51:05Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,162.211.191.140,2026-03-12T14:05:36Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,hsicklingk,210.158.177.73,2026-03-14T14:24:21Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,eblindtl,155.248.115.177,2026-03-15T08:00:21Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,dmcblainm,136.228.120.55,2026-03-13T23:53:13Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,tlearmondn,38.76.148.24,2026-03-11T10:36:06Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,rvinto,223.245.96.110,2026-03-14T06:31:23Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,bmargramp,186.133.36.204,2026-03-12T14:41:56Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,bhearnesq,175.101.151.252,2026-03-17T15:03:03Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,jhewinsr,253.158.27.57,2026-03-16T22:17:50Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,kstreatfields,82.11.147.213,2026-03-16T06:32:55Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,lmacfaydent,63.78.204.129,2026-03-15T06:06:23Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,rrobinsonw,63.37.91.225,2026-03-11T06:49:51Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,141.242.251.142,2026-03-10T22:12:48Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,220.112.12.221,2026-03-14T23:45:17Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,93.1.127.33,2026-03-11T12:47:13Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,dbeevis10,99.4.203.185,2026-03-13T07:17:22Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,kwennam11,161.4.56.8,2026-03-12T13:03:27Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,edymoke12,95.48.83.200,2026-03-10T13:56:16Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,114.162.125.102,2026-03-13T05:10:40Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,doliveras1n,194.187.18.112,2026-03-11T08:33:21Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,witzhaki1o,222.40.229.183,2026-03-16T20:57:46Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,blerhinan1p,106.71.242.1,2026-03-10T14:12:43Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,nfrankis1q,7.65.86.176,2026-03-13T11:00:32Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,cackroyd1r,191.177.215.207,2026-03-17T09:27:13Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,dmarquese1s,9.125.71.35,2026-03-11T18:36:53Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,rdybald1t,199.85.211.111,2026-03-10T08:53:21Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,rrolfo1u,206.110.221.158,2026-03-17T05:24:22Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,mshaxby1v,239.215.194.39,2026-03-15T21:01:40Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,jcruttenden1w,52.118.195.241,2026-03-16T03:22:03Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,hstuke1x,109.148.70.52,2026-03-17T13:11:52Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,gbarthelet1y,216.97.254.32,2026-03-11T03:17:35Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,rbradman1z,131.240.211.105,2026-03-16T05:15:06Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,gscotti20,122.167.220.85,2026-03-14T14:28:47Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,mfairfoull21,195.169.120.69,2026-03-12T23:54:25Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,cseawright22,52.83.125.41,2026-03-13T18:01:19Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,sdeathe23,136.52.247.41,2026-03-16T16:10:44Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,adeverson24,37.245.29.204,2026-03-13T18:32:26Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,235.240.89.72,2026-03-12T21:54:34Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,ppurver26,232.89.201.111,2026-03-10T16:45:10Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,dmatisoff27,48.62.183.191,2026-03-12T10:28:12Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,sbuckbee28,19.87.183.229,2026-03-16T17:55:32Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,129.16.101.108,2026-03-10T16:06:52Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,lgremane2a,168.122.146.184,2026-03-13T02:21:00Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,dblenkensop2b,220.10.116.198,2026-03-15T01:58:46Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,ssemens2c,106.73.155.132,2026-03-16T14:05:04Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,bmcniven2d,69.183.67.77,2026-03-12T08:25:02Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,root,94.234.64.142,2026-03-16T19:14:42Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,alebrum2f,214.119.198.228,2026-03-15T08:34:30Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,cdrever2g,236.68.243.33,2026-03-14T14:45:41Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,root,135.103.53.111,2026-03-10T13:35:18Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,cjumel2i,133.49.133.245,2026-03-14T16:40:57Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,root,135.103.53.111,2026-03-10T13:35:18Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,cjumel2i,133.49.133.245,2026-03-14T16:40:57Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,dlasslett2j,131.195.12.213,2026-03-12T23:31:57Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,lhouldey2k,42.137.188.195,2026-03-11T10:50:17Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,rshilvock2l,200.236.162.162,2026-03-13T15:44:00Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,fbasten2m,197.205.155.41,2026-03-13T10:13:46Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,lwickman2n,118.49.218.81,2026-03-16T09:58:07Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,jkairns2o,255.140.35.50,2026-03-12T06:43:35Z,Alert Type: PRIV_CHANGE | Msg: Granted sudo privileges
External IP Activity,root,125.232.21.10,2026-03-14T00:02:24Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,mkibbee2q,234.32.53.24,2026-03-17T09:16:30Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,root,232.158.179.28,2026-03-17T12:35:44Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,gpeete2s,142.219.254.61,2026-03-13T04:36:55Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,rdenyukin2t,80.123.211.206,2026-03-14T06:43:56Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,hhevner2u,116.179.99.94,2026-03-10T20:00:26Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,vhillen2v,45.2.44.27,2026-03-15T02:52:49Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,aorto2w,67.207.108.195,2026-03-11T14:05:45Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,ifairbank2x,83.217.213.248,2026-03-10T23:31:23Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,root,131.143.28.72,2026-03-12T04:11:06Z,Alert Type: PRIV_CHANGE | Msg: chown command failed
External IP Activity,mknappen2z,173.25.107.246,2026-03-14T01:33:17Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,pbemwell30,38.139.13.225,2026-03-10T04:42:37Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,root,32.27.135.194,2026-03-15T03:21:48Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,192.63.184.248,2026-03-13T12:14:12Z,Alert Type: PRIV_CHANGE | Msg: Logged in as root
External IP Activity,dcandey33,49.84.55.19,2026-03-17T14:43:44Z,Alert Type: PRIV_CHANGE | Msg: chmod command failed
External IP Activity,root,57.93.189.70,2026-03-17T05:17:58Z,Alert Type: PRIV_CHANGE | Msg: User added to administrators group
External IP Activity,ONEWHITE1,51.185.130.223,2026-03-16T19:19:30Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,533427,51.185.130.223,2026-03-15T19:31:37Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,noodle92,51.185.130.223,2026-03-10T01:48:14Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,relic17,51.185.130.223,2026-03-18T22:04:34Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,dili21,51.185.130.223,2026-03-12T15:33:28Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,gewwnz,51.185.130.223,2026-03-13T15:31:31Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,nolejo,51.185.130.223,2026-03-13T19:32:29Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,5334382,51.185.130.223,2026-03-14T14:47:43Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,0875660787,51.185.130.223,2026-03-18T21:28:22Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,krepel,51.185.130.223,2026-03-12T09:11:53Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,gewooon,51.185.130.223,2026-03-17T03:56:04Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,69691234,51.185.130.223,2026-03-10T23:46:19Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,spencercrand,51.185.130.223,2026-03-12T12:34:56Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,relichunt,51.185.130.223,2026-03-17T22:06:44Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,kreppel22,51.185.130.223,2026-03-13T12:48:32Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,@@@*$)!^,51.185.130.223,2026-03-12T20:40:52Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,relic35,51.185.130.223,2026-03-12T05:03:28Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,anthonycobos,51.185.130.223,2026-03-15T03:45:49Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,jamieleecoxx,51.185.130.223,2026-03-12T15:20:32Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,0875660116,51.185.130.223,2026-03-15T08:20:38Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,2102360,51.185.130.223,2026-03-14T17:03:33Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,jamieleigh121003,51.185.130.223,2026-03-10T17:40:34Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,virginiaynicasio,51.185.130.223,2026-03-11T07:25:30Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,69691234,51.185.130.223,2026-03-10T17:02:08Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,210233!,51.185.130.223,2026-03-10T20:22:34Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,noodle83,51.185.130.223,2026-03-16T16:49:26Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,krepska,51.185.130.223,2026-03-15T11:05:29Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,anthonycarl,51.185.130.223,2026-03-14T06:01:31Z,Alert Type: AUTH_FAIL | Msg: Invalid password
External IP Activity,dilhole5,51.185.130.223,2026-03-10T13:51:46Z,Alert Type: AUTH_FAIL | Msg: Invalid password
